"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "XML", "JSON with Comments", "comment", "blank", "total"
"/home/haywae/projects/wxc/wxc-client/src/tests/thunks/exchangeThunk.test.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 32, 45, 252
"/home/haywae/projects/wxc/wxc-client/src/tests/thunks/userThunk.test.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 48, 43, 254
"/home/haywae/projects/wxc/wxc-client/src/tests/userThunk.test.ts", "TypeScript", -373, 0, 0, 0, 0, 0, -121, -97, -591
"/home/haywae/projects/wxc/wxc-client/src/tests/utils.test.ts", "TypeScript", -88, 0, 0, 0, 0, 0, -29, -29, -146
"/home/haywae/projects/wxc/wxc-client/src/tests/utils/authUtils.test.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 29, 31, 144
"/home/haywae/projects/wxc/wxc-client/src/thunks/authThunks/authCheckThunk.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 3, 11
"/home/haywae/projects/wxc/wxc-client/src/thunks/authThunks/loginThunk.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2, 4, 8
"/home/haywae/projects/wxc/wxc-client/src/thunks/authThunks/refreshTokenThunk.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/haywae/projects/wxc/wxc-client/src/thunks/commentsThunks/createCommentThunk.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 1, 4, 44
"/home/haywae/projects/wxc/wxc-client/src/thunks/commentsThunks/deleteCommentThunk.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 3, 30
"/home/haywae/projects/wxc/wxc-client/src/thunks/commentsThunks/fetchCommentsThunk.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 3, 9, 59
"/home/haywae/projects/wxc/wxc-client/src/thunks/commentsThunks/toggleCommentLikeThunk.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 1, 5, 38
"/home/haywae/projects/wxc/wxc-client/src/thunks/commentsThunks/updateCommentThunk.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 4, 43
"/home/haywae/projects/wxc/wxc-client/src/thunks/exchangeThunks/fetchExchangeDataThunk.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 4, 8, 71
"/home/haywae/projects/wxc/wxc-client/src/thunks/exchangeThunks/fetchUserExchangeDataThunk.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 5, 7, 70
"/home/haywae/projects/wxc/wxc-client/src/thunks/exchangeThunks/updateExchangeDetailsThunk.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 6, 11, 83
"/home/haywae/projects/wxc/wxc-client/src/thunks/exchangeThunks/updateExchangeRatesThunk.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 8, 13, 85
"/home/haywae/projects/wxc/wxc-client/src/thunks/notificationThunks/notificationListThunk.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 1, 5, 43
"/home/haywae/projects/wxc/wxc-client/src/thunks/notificationThunks/notificationThunk.ts", "TypeScript", -34, 0, 0, 0, 0, 0, -4, -6, -44
"/home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/fetchUserPostsThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 1, 0
"/home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/toggleLikeThunk.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 3, 8, 47
"/home/haywae/projects/wxc/wxc-client/src/thunks/postsThunks/updatePostThunk.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/haywae/projects/wxc/wxc-client/src/thunks/searchThunks/fetchDiscoveryThunk.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 3, 8, 68
"/home/haywae/projects/wxc/wxc-client/src/thunks/searchThunks/fetchResultsThunk.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 3, 7, 92
"/home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/deleteAccountThunk.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 7, 7, 53
"/home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/requestEmailChangeThunk.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 4, 39
"/home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/updatePasswordThunk.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 4, 39
"/home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/updateUsernameThunk.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 1, 6, 48
"/home/haywae/projects/wxc/wxc-client/src/thunks/settingsThunks/uploadProfilePictureThunk.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 1, 7, 43
"/home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/fetchUserProfile.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 3, 11
"/home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/followUserThunk.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 8, 10, 55
"/home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/registerThunk.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 4, 1, 12
"/home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/requestPasswordResetThunk.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/home/haywae/projects/wxc/wxc-client/src/thunks/userThunks/resetPasswordThunk.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 1, 8
"/home/haywae/projects/wxc/wxc-client/src/types/exchange.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 3, 4, 25
"/home/haywae/projects/wxc/wxc-client/src/types/settings.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"/home/haywae/projects/wxc/wxc-client/src/types/user.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 5, 1, 12
"/home/haywae/projects/wxc/wxc-client/src/types/userProfile.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 12
"/home/haywae/projects/wxc/wxc-client/src/utils/commentUtils.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 4, 2, 32
"/home/haywae/projects/wxc/wxc-client/src/utils/exchangeUtils.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 37, 12, 103
"/home/haywae/projects/wxc/wxc-client/src/utils/notification_util.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 4, 8, 58
"/home/haywae/projects/wxc/wxc-client/src/utils/searchUtils.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 7, 5, 36
"/home/haywae/projects/wxc/wxc-client/src/utils/tagsUtils.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8, 2, 18
"/home/haywae/projects/wxc/wxc-client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 8
"/home/haywae/projects/wxc/wxc-client/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 1, 7
"/home/haywae/projects/wxc/wxc-client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 3, 0, 3
"/home/haywae/projects/wxc/wxc-client/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 7
"Total", "-", 2122, 2186, 236, 1056, 3, 0, 675, 823, 7101
